sentiment,description
negative,Ujjivan Small Finance Bank in a concall on Friday said that Managing Director and Chief Executive Officer Nitin Chugh's resignation came as a bit of a surprise for the company. The lender also said that over the last few months the bank has been working hard to strengthen the board however Chugh’s resignation was due to personal reasons and not due to any “material reasons”. Shares of Ujjivan SFB fell as much as 5.78 percent in the morning trade on Friday on the BSE after Chugh submitted his resignation on August 19. The resignation will come into effect from September 302021
negative,Vodafone Idea (Vi) shares continued to slump on Friday after a day's pause following seven straight sessions of losses. The Vi stock has been under pressure amid the private sector telecom operator's deteriorating financial position. Brokerages cut their target prices on the stock this week.
negative,Vodafone Idea said on Thursday that it had paid the payable license fee dues for the April-June period. The company's statement came following a report suggesting that the troubled company had fallen short on the payment of licence fee for the June quarter by Rs 150 crore
positive,The market is getting into the second phase of the bull market and it needs to absorb the run while we will see some consolidation now says Atul Suri of Marathon Trends-PMS. He believes the corrections in the market are good as they reduce over-optimism and high leverage. The dollar strength will lead to a bit of cooling off and there could be some pressure on the prices of commodities he said. Suri does not expect banks to outperform going ahead and said “We are now getting into more stock-specific play in the next phase of the market.”
positive,GREED & fear remains structurally positive on the Indian market despite the lofty valuation at 21.5 times 12- month forward earnings which creates certain vertigo. A new property cycle has commenced a broader capital spending cycle should be coming sooner or later while the best companies have profited from deleveraging triggered consolidation in sectors like residential property and housing finance and indeed consumer finance in general. Meanwhile the central government remains firmly pro growth writes Christopher Wood global head of equities at Jefferies.
positive,To signal the continuing structural bullish view on India GREED & fear will increase the weighting this week by two percentage points with the money shaved from China and Hong Kong.
negative,CarTrade Tech made a tepid debut on the bourses Friday as the shares got listed at Rs 1599.80 apiece on the National Stock Exchange a discount of 1.12 percent to the issue price of Rs 1618. The stock was listed at Rs 1600 apiece on the BSE down 1.1 percent from the issue price.
negative,"The share price of Ujjivan Small Finance Bank declined over 7 percent after its Managing Director and CEO Nitin Chugh has resigned from his position citing personal reasons. ""The bank has received a letter dated August 182021 from Mr Nitin Chugh tendering his resignation from the position of Managing Director and CEO of the Bank w.e.f. close of business hours on September 302021 Ujjivan Small Finance Bank said in a regulatory filing on Thursday. His tenure as Director is co-terminus with his tenure as Managing Director and CEO of the Bank. Therefore, he shall cease to be a Director of the Bank with effect from the aforesaid date, it added.
negative,Shareholders of Eicher Motors Limited have voted against the re-appointment of Siddhartha Lal as the managing director of the automobile company protesting the proposal to raise his salary by 10 percent.
neutral,Eicher Motors sources told CNBC-TV18 that the company is working to resolve this issue as early as next week. Eicher Motors will call for a meeting of the board of directors next week, sources said.
neutral,The board is likely to review the terms of the earlier proposal for the appointment of Siddharth Lal, and following that, the proposal for reappointment of Siddharth Lal as MD will be put up for postal ballot.
negative,A correction of 5-10 percent in global markets can be seen in India market as well, says Andrew Holland, CEO, Avendus Capital Alternate Strategies. Speaking to CNBC-TV18, Holland said he believes Indian market will continue to be volatile
negative,The price commodity prices coming off can also see the Indian market ticking lower. However, the decline in commodities is not reflected in stocks,” he said.
negative,Holland said he was now getting defensive in his portfolio. He believes Pharma and IT are the places to hide currently. He is of the view that we might have a bigger correction than seen in the past 6 months if the economic growth slows.
neutral,A US District Court has issued a decision in favour of Pharmacyclics, the brand owner of Imbruvica in a PIV litigation involving the product. NATCO and its marketing partner in the US for the product, Alvogen Pine Brook LLC, USA, shall review the judgement and evaluate all options to appeal the judgement, the company said
positive,In the year 2018, NATCO and Alvogen, have filed an Abbreviated New Drug Application (ANDA) with PIV certification for generic version of the product.
negative,Tapering is negative news for markets since it will eventually reduce the liquidity available in the financial system. But the positive dimension is that the Fed is indicating tapering since economic growth revival is strong. If growth and earnings recovery is strong, markets are likely to stage a rebound after the initial jitters. With retail investors in exuberant mode, dips are likely to be bought into. Volatility is inevitable and, therefore, safety is in large-cap
negative,The Indian equity benchmark indices opened sharply lower on Friday dragged by across the board selling. At 9:15 am, the Sensex opened 0.85 percent, or 470.36 points, lower at 55,159.13, while the Nifty50 index opened at 16,382.50, down 1.12 points, or 186.35 percent. Broader markets, smallcap and midcap indices also declined over a percent each. All the sectoral indices are in red with metals, banks, auto and pharma indices falling the most.
neutral,Citi remains bullish on Ashok Leyland with a target price of Rs 160. While Goldman Sachs has retained a 'buy' call on United Spirits, Jefferies recommends a 'buy' on IndusInd Bank
neutral,The weakness in the Indian market would not last longer, says Mark Matthews of Bank Julius Baer & Co. Speaking to CNBC-TV18, Matthews said that he will buy into the Indian market if there is a correction. However, the good stocks in the Indian market are usually expensive, he said.
negative,The markets are sanguine about US Fed taper, but US dollar is indicating a risk-off. A higher dollar will put pressure on prices of commodities and do not expect commodities to do as well now, he added.
negative,Scam-hit Karvy Stock Broking Limited Chairman C Parthasarathy was arrested here on Thursday on charges of defaulting a bank loan, police said. Parthasarathy was arrested for defaulting on a loan taken from the IndusInd Bank and diverting the fund to other bank accounts, Avinash Mohanty, Joint Commissioner of Police, (Detective Department) said.
negative,The banks in their complaint alleged that Karvy group represented by Parthasarathy unlawfully pledged the shares of its clients and availed loans. The loan amounts have been diverted to other firms and subsequently defaulted on repayment, the official added.
negative,The Nagpur Bench Of Bombay High Court has set aside a plea by MIHAN India annulling the bidding process for the Nagpur Airport and further directed MIHAN India to take all steps in terms of the RFP conditions, including the signing of a Concession Agreement for the Nagpur Airport, within 6 weeks.
negative,GMR had emerged as the highest bidder in the tender process conducted by MIHAN India for the Nagpur Airport in 2019. The Letter of Award was issued to GMR in March 2019. However, Government of Maharashtra decided to cancel the tender process in March 2020 and MIHAN issued a Letter annulling the bid process.
positive,The cryptocurrency market is trading broadly in the green Friday with Bitcoin rising 6 percent. Various reports on the regulatory crackdown on China, hacking events, and the release of minutes by the…
negative,Credit ratings agency India Ratings on Thursday lowered its gross domestic product (GDP) forecast for the country’s economy to 9.4 percent for the current financial year from 9.6 percent. In its mid-year review, the agency said that going by the pace of vaccinations against Covid-19, it is now almost certain that the country will not be able to fully vaccinate its entire adult population by December 31.
negative,Stating that economic recovery would depend on the progress of the vaccination drive, India Ratings, in its June forecast pegged India’s GDP growth at 9.6 percent. Otherwise, the GDP growth may slip to 9.1 percent, it had said
positive,Federal Reserve officials last month discussed the idea of beginning to dial back their extraordinary support for the US economy later this year, though they stopped short of a firm decision on a timetable. The minutes of the Fed's July 27-28 meeting, released Wednesday, indicated that the economic recovery from the pandemic recession was moving closer to achieving the central bank's goals on inflation and employment. As a result, the Fed is edging toward an announcement that it will begin paring the pace of its Treasury and mortgage bond buying.
negative,Several Chinese ports are facing congestion as vessels due to call at Ningbo are being diverted and cargo processing is slowed partly due to stricter disinfection measures under China's zero-tolerance"" coronavirus policy."
positive,On Tuesday more than 50 container vessels were queuing at Ningbo port China's second-largest marine centre Refinitiv data showed up from 28 on Aug. 10 when a COVID-19 case was reported at one of its terminals.
negative,Leading international shipping groups have warned their clients of delays and route adjustments. At least 14 vessels operated by CMA CGM five Maersk vessels and four Hapag-Lloyd ships have decided to skip Ningbo while dozens of vessels are adjusting their schedules the shipping groups said.
neutral,This is not the first time Fed has hinted at taper and many believe in a way it’s good that Fed is doing it since this will prepare the market for the actual event. The correct way to approach this is to look at the anecdotal evidence on what markets have done when there have been previous instances of taper talks writes CBC-TV18’s Anuj Singhal.
neutral,You would have noticed that the market goes into a bit of a shell for about one to three days corrects big and then moves on and makes a fresh high. Now of course this time can be different but chances are that the same script will play out again
positive,The US dollar advanced to a nine-month high on Thursday as worries about widespread coronavirus infections and Federal Reserve meeting minutes showing policymakers considering reducing pandemic-era stimulus this year hit global stocks and commodity-linked currencies.
positive,The dollar index which measures its performance against six currencies hit 93.434 its highest since early November last year. It was last up 0.2% at 93.273.
negative,The number of people seeking unemployment benefits fell last week for a fourth straight time to a pandemic low the latest sign that America’s job market is rebounding from the pandemic recession as employers boost hiring to meet a surge in consumer demand.
negative,The Labor Department reported Thursday that jobless claims fell by 29000 to 348000. The four-week average of claims which smooths out week-to-week volatility also fell — by 190 to just below 3780 also a pandemic low.
negative,Oil prices came off three-month lows on Friday but were on track for a weekly decline of around 6 percent as new lockdowns in countries with low vaccination rates facing surging cases of the Delta variant dimmed the outlook for fuel demand. Broader investor risk aversion also weighed on oil with the US dollar jumping to a nine-month high on signs the US Federal Reserve is considering reducing stimulus this year.
positive,US West Texas Intermediate (WTI) crude futures for September due to expire on Friday rose 35 cents or 0.5 percent to $64.04 a barrel after sliding 2.7 percent on Thursday. The more active October contract rose 33 cents or 0.5 percent to $63.83.
negative,Brent crude futures rose 27 cents or 0.4 percent to $66.72 a barrel after dropping 2.6 percent on Thursday to its lowest close since May.
negative,Asian shares extended losses on Friday from the 2021 low set a day earlier while the dollar held onto its recent gains sitting at a nine-month high. MSCI's broadest index of Asia-Pacific shares outside Japan dropped 0.75 percent with Chinese blue chips down 1.22 percent and Hong Kong down 0.53 percent. Japan’s Nikkei fell 0.53 percent and US stock futures the S&P 500 e-minis were down 0.26 percent.
negative,US Stock markets ended mixed as gains in technology shares were countered by selling in cyclical sectors. The S&P 500 gained 0.13 percent or 5.53 points to and at 4405.8 while the Nasdaq Composite added 0.11 percent or 15.87 percent to 14541.79. The Dow Jones Industrial Average closed 66.57 points or 0.19 percent lower at 34894.12.
negative,The Indian equity benchmark indices ended lower Wednesday dragged by selling in metals and private banking stocks. The Sensex fell 162.78 points or 0.29 percent to close at 55629.49 while the Nifty ended at 16568.85 down 45.75 points or 0.28 percent. Broader markets closed mixed as the midcap index gained while the smallcap index ended in the red.
negative,Among sectors Nifty Metal Nifty Private Bank and Nifty Realty fell the most followed by financial services auto and media indices while pharma FMCG PSU Bank and IT indices ended in the green. The Indian market were closed on Thursday.
neutral,Good morning readers! Welcome to our market blog where we provide rolling live news coverage of the latest events in the stock market business and economy. We will also get you instant reactions and guests from our stellar lineup of TV guests and in-house editors researchers and reporters. If you are an investor here is wishing you a great trading day. Good luck!
negative,The short term trend has shifted again into choppy post upside breakout of the small narrow range movement. There is a possibility of Nifty showing consolidation or minor weakness in the next 1-2 sessions before showing further upside in the near term. The next upside target remains intact at 16800 levels and immediate support is placed at 16480 levels.
positive,Despite weak global market conditions Indian markets maintained bullish momentum amid sharp intraday volatility. On daily charts benchmark index Nifty has formed a breakout continuation formation. The texture of the chart suggests the 16450-16400 level would act as a key support level for the day traders. As long as the index is trading above the same the uptrend texture is likely to continue up to 16600-16640 levels. In the near future the market may consolidate near the 16600 resistance levels.
negative,Markets traded lacklustre and ended marginally higher in absence of any major trigger. The tone was muted in the beginning however healthy buying in select heavyweights like Reliance combined with stocks from the metal and financials space aided the index to inch higher as the session progressed. The broader market indices continued their underperformance and ended lower in a range of 0.3-0.8%.
neutral,As the results season is largely behind us domestic factors viz. updates on further unlocking and pace of vaccination will remain in focus. Meanwhile the performance of the global indices may induce further volatility. Since we’re seeing limited participation traders should focus on sectors that are trading in sync with the benchmark and wisely choose the stocks.
negative,Advance decline ratio continued to be weak. This along with lower-than-recent-average volumes on Aug 16 suggests that action is concentrated in a few scrips. Nifty could continue its gradual grind upwards while the broader market continues to see rotational profit booking.
positive,Nifty has once more formed a bullish candle at closing with gaining intraday 33.95 points it managed to close at new record high levels now going ahead 15500 will act as a psychological level for immediate support followed by 15475 -16425-16375 levels. Similarly on the upper side 16600 will act as resistance followed by 16675 levels.
neutral,Nifty Bank which underperformed Nifty50 which lost 74.85 points and closed at 36094.50 has immediate support at 35900 & if it breaks this level then 35700----35550 will be the next support. On the upside 36300 will be the hurdle above which 36550-36700 will act as the resistance level.
positive,Technically the Nifty Index has been trading higher high higher low formation from the last few days which suggest strength for upside movement. Furthermore the Index has been trading with a positive crossover of 21*50 HMA which points out the potential for upward direction. Momentum Indicator MACD & RSI are also showing positive crossover on daily time frames which further adds strength to the index. At present the nifty index has immediate resistance at 16600 levels while downside support shifted up to 16350 levels.
positive,The market is moving in the consolidation zone and any correction is a good opportunity to invest in quality stocks. The Nifty50 is seen with the support of 16200 and resistance of 16700 for the near term.
positive,Indian Markets outperformed as most of the global markets are trading on a weak note where Nifty & Sensex hit fresh all-time highs of 16588 and 55680 respectively. Midcap and Small-cap stocks underperformed where the market breadth was in favor of decline. Metal stocks shine in the leadership of Tata Steel after strong management commentary and multiple upgrades by FII broking firms. Reliance led the gain in headline indices amid news of positive development on a deal with Saudi Aramco.
neutral,Technically Bullish momentum is continued in Nifty where 16650 is an immediate target while 16900 is the next target level. On the downside16500-16450 is an immediate demand zone whereas 16350 will be critical support at any correction.
neutral,BankNifty is still consolidating in the 35800-36200 zone while 36500 is the next critical hurdle; above this we can expect a rally towards the 37200-37700 zone. On the downside35500 will be immediate support while 35200-35000 will be critical support zone.
neutral,The Indian equity benchmark indices ended higher Monday led by gains in metals and FMCG stocks. The Sensex gained 145.29 points or 0.26 points to end at 55582.58 while the Nifty closed 33.95 points or 0.21 percent higher at 16563.05. Broader markets underperformed the frontliners as the midcap and smallcap indices closed lower.
neutral,Among sectors selling was seen in PSU Bank auto IT media and pharma indices while Nifty Metals Nifty FMCG and Nifty Financial Services ended in the green. Tata Steel Bajaj Finance M&M Britannia Industries and IOC were the top Nifty50 gainers while Maruti Suzuki Shree Cements Eicher Motors Power Grid Corp and Bajaj Auto were the top index losers
negative,"It has been a quite patchy monsoon until now. While the month of June was good with nearly 10-13 percent of excess rainfall July was in negative and August until now is negative as well. Out of the 4 geographical distributions it is only the South peninsula that has seen positive rainfall the rest 3 have seen deficiency. In an interview to Manisha Gupta RK Jenamani of IMD said ""We have weak monsoon prevailing since last 7 days. We have not had much rainfall except in Andhra Pradesh and Telangana. In Maharashtra we have not had high rainfall since 28 of July."""
positive,The June quarter corporate earnings saw a marginal beat on Nifty earnings on a year-on-year basis despite low base. Gautam Duggad Motilal Oswal Financial Services expects 30 percent growth in earnings for FY22 and said equity valuations will turn to FY23 post H2FY22. Speaking to CNBC-TV18 Duggad said “We are still expecting 30 per cent-plus earnings growth for FY22. For our broader universal Motilal Oswal coverage of 208 stocks we have seen an earnings growth of 117 percent which is broadly in line. This performance led by commodities and cyclicals – metals and oil marketing companies (OMCs) – ex of those two sectors numbers is marginally ahead of estimates.”
positive,"Duggad added that he had not seen any change in EPS estimate of Nifty. He has a positive view on QSR sector and believes it is an exciting space for long term investment. ""QSR is a space which is very exciting and we have been positive on this space. We have recently upgraded Jubilant Foodworks also somewhere about Rs 3000. If somebody has a long-term view one must definitely have some exposure to QSR space” he said. He believes the backdrop for liquidity and interest rates still remains very conducive for equity valuations."
negative,The market witnessed some lackluster movement and an attempt to hold the support level around the Nifty 50 Index level of 16500. The market shows that it is going to be crucial for the short-term market scenario to sustain above the 16500 Nifty50 Index level. The deviation in Nifty50 Nifty mid-cap and Nifty small-cap hence market advise the traders to refrain from building a new buying position until further improvement is seen in the market breadth.
positive,Online travel firm EaseMyTrip on Monday reported an over six-fold jump in consolidated net profit to Rs 15.42 crore for the quarter ended June 30 2021 mainly on account of robust performance in the air passage segment. The company had posted a net profit of Rs 2.49 crore for the corresponding period of the previous fiscal year EaseMyTrip said in a regulatory filing.
